,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T007,MCIF,MADJ,T013,Trade,Trans,T014,MDTY,TOP,SUB,T015,T016
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Commodity Output,Imports,CIF/FOB Adjustments on Imports,Total product supply (basic prices),Trade margins,Transport margins,Total trade and transportation margins,Import duties,Tax on products,Subsidies on products,Total tax less subsidies on products,Total product supply (purchaser prices)
331,Primary metals,---,---,---,---,---,---,---,---,1,318235,4038,26,56,671,17,1,24,10,---,0,---,0,---,145,3,6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6,---,---,---,323240,126078,---,449318,48558,17747,66306,4198,2644,---,6843,522467
332,Fabricated metal products,---,---,0,---,1144,---,---,647,32,1604,402303,1960,105,172,1076,51,230,1043,---,105,---,0,134,0,50,555,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,411214,95721,---,506935,167889,15515,183404,7424,17964,---,25388,715726
333,Machinery,---,---,336,---,---,---,---,---,8,277,3078,418093,576,447,1496,714,47,228,---,7,---,---,92,0,146,361,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5,---,---,---,---,425910,226837,---,652747,236799,21521,258319,8579,19121,---,27700,938766
334,Computer and electronic products,---,---,---,---,---,---,---,0,0,1,377,545,334845,183,61,563,9,903,---,41,---,61,12,---,1166,205,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8,---,934,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,339913,430041,---,769954,324646,15546,340191,7798,22574,---,30372,1140517
335,"Electrical equipment, appliances, and components",---,---,---,---,---,---,---,---,67,359,246,1272,587,148419,150,504,28,60,---,---,---,---,13,8,112,393,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,152218,161731,---,313949,133108,13698,146806,10260,9515,-378,19397,480153
3361MV,"Motor vehicles, bodies and trailers, and parts",---,---,---,---,---,---,---,---,21,---,887,959,7,73,711692,4166,0,47,---,765,---,---,---,---,1,1250,75,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,719944,354144,---,1074088,317820,22554,340374,8908,43838,---,52745,1467207
3364OT,Other transportation equipment,---,---,---,---,---,---,---,---,1,---,167,199,540,1,5710,317497,---,17,---,0,---,---,---,---,0,107,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,324238,50606,---,374844,37646,6761,44408,941,3819,---,4760,424012
337,Furniture and related products,---,---,---,---,---,---,---,995,119,2,60,7,0,11,0,---,79024,248,---,55,---,0,20,---,---,266,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,80808,61892,---,142701,106647,23764,130411,4080,12144,---,16224,289336
339,Miscellaneous manufacturing,---,---,---,---,---,---,---,31,23,---,503,57,1792,13,9,6,126,159531,3,30,29,404,753,---,1791,1536,6,---,---,---,2480,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,605,---,1408,---,171138,142444,---,313582,295545,28188,323733,3169,21647,---,24816,662131
311FT,Food and beverage and tobacco products,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,4,1119900,---,921,---,---,---,13085,---,1452,---,11176,2655,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3665,---,1152859,147734,---,1300593,719076,35854,754929,2776,108897,---,111674,2167196
